City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,meadow lakes,61.6247,-149.6011,-2.67,90,0,1.01,US,1702759471
122,antsohihy,-14.8796,47.9875,26.34,82,70,0.59,MG,1702759471
123,huangnihe,43.5583,128.0239,-21.58,87,99,5.6,CN,1702759471
124,isla mujeres,21.2311,-86.731,27.03,73,84,6.3,MX,1702759471
125,koz'modem'yansk,56.3367,46.5711,-18.0,99,93,2.81,RU,1702759471
126,punta arenas,-53.15,-70.9167,12.06,37,20,13.89,CL,1702759273
127,kirakira,-10.4544,161.9205,26.38,71,51,2.33,SB,1702759471
128,queenstown,-31.8976,26.8753,17.76,87,48,1.73,ZA,1702759472
129,wanning,18.8003,110.3967,19.76,91,100,6.73,CN,1702759472
130,palmer,42.1584,-72.3287,11.78,40,75,0.0,US,1702759472
131,ilulissat,69.2167,-51.1,-14.99,43,20,3.6,GL,1702759398
132,praia da vitoria,38.7333,-27.0667,19.14,94,75,9.34,PT,1702759395
133,arraial do cabo,-22.9661,-42.0278,28.98,78,0,11.83,BR,1702759347
134,whitehorse,60.7161,-135.0538,-8.28,84,20,1.03,CA,1702759398
135,enewetak,11.3474,162.3373,27.51,81,100,9.97,MH,1702759429
136,tuensang,26.2833,94.8333,10.28,94,1,1.61,IN,1702759472
137,bozkir,37.1896,32.2474,9.01,88,47,1.63,TR,1702759472
138,smidovich,48.6,133.8167,-23.73,95,100,1.06,RU,1702759472
139,jindabyne,-36.4167,148.6333,13.59,53,74,0.77,AU,1702759472
140,pisco,-13.7,-76.2167,25.03,69,0,8.75,PE,1702759408
141,immokalee,26.4187,-81.4173,22.19,95,100,5.66,US,1702759473
142,punta del este,-34.9667,-54.95,32.06,58,0,4.63,UY,1702759316
143,palafrugell,41.9174,3.1631,8.59,71,0,4.23,ES,1702759473
144,fort mcmurray,56.7268,-111.381,-1.27,50,0,6.69,CA,1702759473
145,margate,51.3813,1.3862,10.5,90,100,2.68,GB,1702759473
146,namibe,-15.1961,12.1522,22.64,71,35,3.11,AO,1702759429
147,negombo,7.2083,79.8358,25.03,94,40,1.54,LK,1702759473
148,kattivakkam,13.2167,80.3167,26.05,77,100,6.74,IN,1702759473
149,coronel dorrego,-38.7187,-61.2873,32.94,54,54,10.22,AR,1702759473
150,tobruk,32.0836,23.9764,16.87,56,0,0.51,LY,1702759474
151,touros,-5.1989,-35.4608,26.85,79,98,6.86,BR,1702759434
152,hammerfest,70.6634,23.6821,-0.75,80,100,3.6,NO,1702759423
153,tolanaro,-25.0319,46.9987,26.04,89,75,5.14,MG,1702759439
154,yekaterinovka,52.0508,44.3451,-14.01,100,96,3.08,RU,1702759474
155,port alfred,-33.5906,26.891,20.1,91,2,0.45,ZA,1702759403
156,langepas,61.2544,75.2124,-21.94,92,100,3.89,RU,1702759474
157,yuzhno-kurilsk,44.0306,145.8556,4.1,98,98,13.49,RU,1702759474
158,ulanhot,46.0833,122.0833,-23.29,67,0,5.07,CN,1702759419
159,hasaki,35.7333,140.8333,14.22,51,0,6.87,JP,1702759158
160,las veredas,23.1388,-109.7075,29.25,42,40,5.66,MX,1702759224
161,san justo,-30.7891,-60.5919,34.48,56,43,6.5,AR,1702759474
162,puerto deseado,-47.7503,-65.8938,12.09,64,97,7.4,AR,1702759401
163,chonchi,-42.6128,-73.8092,11.18,97,100,0.69,CL,1702759390
164,east london,-33.0153,27.9116,21.36,87,45,5.64,ZA,1702759475
165,pago pago,-14.2781,-170.7025,26.55,100,100,7.2,AS,1702759378
166,saint-pierre,-21.3393,55.4781,24.82,73,0,2.06,RE,1702759415
167,ancud,-41.8697,-73.8203,9.56,91,100,0.95,CL,1702759419
168,taungoo,18.9333,96.4333,17.46,79,12,1.47,MM,1702759475
169,talcahuano,-36.7167,-73.1167,14.82,82,75,9.26,CL,1702759475
170,lewistown,40.5992,-77.5714,12.42,50,0,0.0,US,1702759397
171,bestobe,52.4994,73.0975,-18.77,74,16,3.43,KZ,1702759286
172,keflavik,64.0049,-22.5624,3.24,93,75,10.29,IS,1702759412
173,saint croix,17.7397,-64.7388,27.25,84,75,5.66,VI,1702759475
174,north battleford,52.7834,-108.2847,4.11,65,0,6.69,CA,1702759475
175,salekhard,66.53,66.6019,-15.62,94,100,5.66,RU,1702759476
176,saudarkrokur,65.7461,-19.6394,1.79,81,100,7.36,IS,1702759476
177,bonthe,7.5264,-12.505,26.77,71,100,2.86,SL,1702759476
178,houlton,46.1262,-67.8403,0.23,45,0,3.6,US,1702759476
179,port saint john's,-31.6229,29.5448,22.37,85,94,5.16,ZA,1702759423
180,slutsk,53.0274,27.5597,1.05,100,100,5.37,BY,1702759476
181,moirang,24.5,93.7667,10.09,97,2,0.69,IN,1702759476
182,ust-nera,64.5667,143.2,-33.19,100,99,2.55,RU,1702759412
183,peace river,56.2501,-117.286,0.17,55,75,1.54,CA,1702759414
184,onguday,50.75,86.15,-17.4,95,100,1.22,RU,1702759419
185,homer,59.6425,-151.5483,3.94,61,0,3.09,US,1702759476
186,north ward,-19.2454,146.8075,22.95,88,100,3.6,AU,1702759476
187,pathein,16.7833,94.7333,19.69,87,5,2.68,MM,1702759477
188,polyarnyy,69.1989,33.4478,-5.12,88,100,8.68,RU,1702759398
189,anda,46.4,125.3167,-26.42,87,9,3.3,CN,1702759477
190,ankang,32.68,109.0172,0.29,52,76,0.93,CN,1702759477
191,toliara,-23.35,43.6667,25.19,87,98,0.7,MG,1702759413
192,konigstein im taunus,50.1833,8.4667,5.77,86,75,1.03,DE,1702759477
193,zalingei,12.9096,23.4741,19.73,20,83,1.56,SD,1702759477
194,acapulco de juarez,16.8634,-99.8901,29.9,74,40,3.09,MX,1702759477
195,mata-utu,-13.2816,-176.1745,28.13,76,99,2.69,WF,1702759478
196,hithadhoo,-0.6,73.0833,27.72,76,34,2.97,MV,1702759447
197,ati,13.2154,18.3353,24.1,13,5,3.74,TD,1702759478
198,mugia,43.1041,-9.2179,7.73,70,0,1.93,ES,1702759478
199,smithers,54.7804,-127.1743,-2.82,93,75,3.6,CA,1702759478
200,daru,-9.0763,143.2092,26.1,89,100,2.41,PG,1702759478
201,kristinestad,62.2743,21.376,2.28,91,100,8.3,FI,1702759478
202,olonkinbyen,70.9221,-8.7187,-0.37,97,100,13.79,SJ,1702759403
203,aasiaat,68.7098,-52.8699,-24.58,90,23,3.0,GL,1702759420
204,darab,28.7519,54.5444,11.18,21,0,3.21,IR,1702759478
205,san patricio,28.017,-97.5169,20.92,37,0,6.82,US,1702759397
206,pangai,-19.8,-174.35,26.81,84,100,8.84,TO,1702759479
207,vernon,50.2581,-119.2691,6.45,71,32,0.89,CA,1702759387
208,sitka,57.0531,-135.33,2.94,87,100,2.57,US,1702759390
209,port lincoln,-34.7333,135.8667,16.03,71,0,5.37,AU,1702759411
210,kismayo,-0.3582,42.5454,27.87,80,9,5.94,SO,1702759479
211,badger,64.8,-147.5333,-15.07,83,100,3.09,US,1702759407
212,carnarvon,-24.8667,113.6333,21.8,79,2,6.75,AU,1702759418
213,firuzabad,28.8438,52.5707,9.88,25,0,2.22,IR,1702759479
214,sankheda,22.1667,73.5833,19.8,47,2,1.96,IN,1702759480
215,labytnangi,66.6572,66.4183,-15.91,96,100,4.26,RU,1702759423
216,karratha,-20.7377,116.8463,23.48,68,8,5.9,AU,1702759480
217,slany,50.2305,14.0869,5.11,81,75,7.72,CZ,1702759480
218,el granada,37.5027,-122.4694,21.8,45,0,2.57,US,1702759411
219,fort bragg,35.139,-79.006,16.08,35,0,3.6,US,1702759402
220,al khawr,25.7667,51.3167,19.51,67,0,3.29,QA,1702759480
221,cradock,-32.1642,25.6192,19.77,70,0,2.29,ZA,1702759480
222,shimoda,34.6667,138.95,8.39,57,2,17.14,JP,1702759480
223,puerto lempira,15.2667,-83.7667,28.08,74,40,3.09,HN,1702759480
224,bikenibeu village,1.3673,173.1241,27.98,89,75,1.03,KI,1702759481
225,sandnessjoen,66.0217,12.6316,3.29,71,84,14.9,NO,1702759481
226,kavieng,-2.5744,150.7967,27.99,76,73,1.92,PG,1702759416
227,paraty,-23.2178,-44.7131,27.26,82,71,1.48,BR,1702759481
228,anadyr,64.75,177.4833,-14.72,71,75,6.0,RU,1702759401
229,new norfolk,-42.7826,147.0587,13.29,68,55,1.43,AU,1702759403
230,maloye ganyushkino,46.6,49.2667,-1.71,71,100,3.94,KZ,1702759481
231,holualoa,19.6228,-155.9522,24.75,63,0,7.72,US,1702759481
232,mahavelona,-17.6848,49.5087,24.99,86,91,2.74,MG,1702759481
233,ornskoldsvik,63.2909,18.7153,2.53,87,68,11.32,SE,1702759482
234,basco,20.4487,121.9702,23.13,83,100,19.05,PH,1702759482
235,lebu,-37.6167,-73.65,11.83,96,100,6.11,CL,1702759392
236,udachny,66.4167,112.4,-32.28,100,100,2.06,RU,1702759405
237,manokwari,-0.8667,134.0833,26.33,81,100,1.15,ID,1702759482
238,selfoss,63.9331,-20.9971,2.25,96,100,8.73,IS,1702759428
239,mount gambier,-37.8333,140.7667,12.44,84,31,1.78,AU,1702759391
240,viqueque,-8.8673,126.3658,23.92,91,100,0.95,TL,1702759482
241,ilongero,-4.6667,34.8667,18.3,82,99,3.42,TZ,1702759482
242,ust-tsilma,65.441,52.1498,-9.9,93,100,3.69,RU,1702759482
243,constantia,44.1833,28.65,0.39,79,78,4.51,RO,1702759397
244,niamey,13.5137,2.1098,25.16,15,85,2.57,NE,1702759482
245,apac,1.9756,32.5386,22.4,71,88,1.28,UG,1702759483
246,zhanga buqtyrma,49.6295,83.5248,-21.99,93,89,1.4,KZ,1702759483
247,dudinka,69.4058,86.1778,-20.77,97,55,5.32,RU,1702759399
248,cochrane,51.1834,-114.4687,5.22,80,0,8.23,CA,1702759483
249,sao vicente,-23.9631,-46.3919,29.1,60,100,1.54,BR,1702759447
250,utrik,11.2278,169.8474,26.83,86,90,11.53,MH,1702759392
251,sault ste. marie,46.5168,-84.3333,2.31,100,100,4.12,CA,1702759184
252,vorkuta,67.5,64.0,-14.74,84,100,6.21,RU,1702759483
253,nyala,12.05,24.8833,21.55,23,99,4.89,SD,1702759483
254,canico,32.6333,-16.85,20.4,86,75,4.63,PT,1702759483
255,thames,-37.1333,175.5333,19.35,60,4,2.98,NZ,1702759483
256,atafu village,-8.5421,-172.5159,29.09,69,37,1.12,TK,1702759405
257,newport,51.5877,-2.9984,10.98,91,94,6.0,GB,1702759390
258,kapuskasing,49.4169,-82.4331,0.0,64,100,6.17,CA,1702759483
259,san antonio de pale,-1.4014,5.6325,27.49,81,84,1.58,GQ,1702759422
260,garoua,9.3,13.4,25.42,19,15,1.68,CM,1702759484
261,n'zeto,-7.2312,12.8666,27.21,86,42,4.27,AO,1702759418
262,wabag,-5.4781,143.7021,13.02,96,98,0.98,PG,1702759484
263,tsiombe,-25.3,45.4833,25.51,83,75,2.03,MG,1702759484
264,saint-louis,16.3333,-15.0,24.61,13,100,5.0,SN,1702759484
265,wailua homesteads,22.0669,-159.378,23.75,63,100,9.77,US,1702759395
266,hawaiian paradise park,19.5933,-154.9731,23.83,86,0,4.12,US,1702759390
267,mejit,10.2753,170.8646,27.2,83,91,11.83,MH,1702759484
268,villa gesell,-37.2639,-56.973,22.81,83,100,9.65,AR,1702759484
269,kenitra,34.261,-6.5802,14.42,32,0,4.84,MA,1702759484
270,undurkhaan,47.3194,110.6556,-30.69,90,11,2.15,MN,1702759484
271,ambovombe,-25.1667,46.0833,24.8,85,88,3.04,MG,1702759485
272,zaragoza,41.6561,-0.8773,8.9,67,0,1.34,ES,1702759485
273,nadym,65.5333,72.5167,-14.78,80,100,10.03,RU,1702759485
274,saldanha,-33.0117,17.9442,16.03,87,0,8.08,ZA,1702759425
275,calbuco,-41.768,-73.1273,10.56,92,100,2.0,CL,1702759485
276,kristiansund,63.1115,7.732,5.36,70,75,8.23,NO,1702759427
277,coquimbo,-29.9533,-71.3436,18.85,68,20,5.66,CL,1702759245
278,parnamirim,-5.9156,-35.2628,28.19,74,20,7.2,BR,1702759485
279,obock,12.25,43.0833,20.05,74,31,7.67,DJ,1702759485
280,bridlington,54.0831,-0.1919,10.08,87,51,2.68,GB,1702759485
281,usogorsk,63.4106,48.6872,-11.28,96,100,2.4,RU,1702759433
282,la'ie,21.6477,-157.9253,23.98,62,43,7.8,US,1702759246
283,mandalgovi,45.7625,106.2708,-23.88,90,5,2.18,MN,1702759415
284,kapa'a,22.0752,-159.319,24.5,63,100,9.77,US,1702759444
285,castillos,-34.1667,-53.8333,25.58,75,31,4.29,UY,1702759485
286,kuqa,41.7278,82.9364,-6.25,38,21,1.42,CN,1702759486
287,straja,47.9167,25.55,-0.93,84,16,2.0,RO,1702759486
288,port blair,11.6667,92.75,28.02,78,20,2.06,IN,1702759486
289,nuuk,64.1835,-51.7216,-7.66,62,20,6.69,GL,1702759212
290,afaahiti,-17.75,-149.2833,28.93,84,91,8.12,PF,1702759391
291,oliveira dos brejinhos,-12.3169,-42.8961,32.34,21,28,1.87,BR,1702759486
292,launceston,-41.45,147.1667,12.8,76,0,4.63,AU,1702759486
293,akrehamn,59.2667,5.1833,8.56,93,75,4.12,NO,1702759439
294,miracema do tocantins,-9.5618,-48.3967,35.08,26,23,2.36,BR,1702759426
295,gandi,12.9636,5.7434,21.49,17,24,4.45,NG,1702759486
296,ixtapa,20.7,-105.2,26.57,74,0,4.63,MX,1702759273
297,iskateley,67.6803,53.1512,-9.32,93,100,6.6,RU,1702759387
298,coahuayana de hidalgo,18.7,-103.6583,31.25,53,0,2.73,MX,1702759446
299,oleiros,43.3333,-8.3167,10.62,94,0,3.09,ES,1702759486
300,martignas-sur-jalle,44.8453,-0.7806,4.05,93,0,1.54,FR,1702759486
301,kidal,18.4411,1.4078,20.52,12,1,4.03,ML,1702759401
302,westport,41.1415,-73.3579,12.27,61,0,4.12,US,1702759391
303,vargem grande,-3.5431,-43.9158,27.73,71,91,1.57,BR,1702759306
304,tabou,4.423,-7.3528,27.08,81,5,3.64,CI,1702759487
305,huarmey,-10.0681,-78.1522,23.88,76,86,5.3,PE,1702759487
306,arno,60.1167,18.6333,5.99,92,95,10.52,SE,1702759487
307,nova vicosa,-17.8919,-39.3719,25.74,70,0,3.75,BR,1702759487
308,riacho de santana,-13.6092,-42.9389,32.28,25,54,4.8,BR,1702759487
309,las palmas,28.4204,-14.0131,19.44,40,0,7.2,ES,1702759417
310,murghob,38.1702,73.9667,-13.98,90,100,1.13,TJ,1702759487
311,wuwei,37.9281,102.6414,-12.9,76,2,1.2,CN,1702759487
312,prado,-17.3411,-39.2208,25.54,74,28,2.82,BR,1702759425
313,buala,-8.145,159.5921,26.88,84,54,2.7,SB,1702759487
314,tsiroanomandidy,-18.7667,46.0333,24.1,74,90,1.64,MG,1702759487
315,road town,18.4167,-64.6167,26.05,83,40,5.14,VG,1702759172
316,junin de los andes,-39.9504,-71.0694,17.78,37,3,9.29,AR,1702759488
317,colonia,50.9333,6.95,9.42,85,100,1.54,DE,1702759396
318,taoudenni,22.6783,-3.9836,16.46,25,0,7.65,ML,1702759488
319,calgary,51.0501,-114.0853,5.84,72,20,4.63,CA,1702759423
320,acarau,-2.8856,-40.12,27.51,79,100,7.05,BR,1702759488
321,longyearbyen,78.2186,15.6401,-2.09,80,75,8.75,SJ,1702759385
322,iguape,-24.7081,-47.5553,26.17,83,48,3.78,BR,1702759488
323,luganville,-15.5333,167.1667,26.85,76,49,3.02,VU,1702759488
324,shingu,33.7333,135.9833,4.52,62,24,6.5,JP,1702759421
